"时间","平台","订单","日志类型","价格","数量","消息"
2019-12-17 09:50:00,,,信息,,,7032.6

2019-12-17 09:50:00,,,信息,,,6936.8

2019-12-17 09:54:00,,,信息,,,7032.6

2019-12-17 09:54:00,,,信息,,,6938.8

2019-12-17 09:58:00,,,信息,,,7032.6

2019-12-17 09:58:00,,,信息,,,6934.8

2019-12-17 10:00:00,,,信息,,,7032.6

2019-12-17 10:00:00,,,信息,,,6934.8

2019-12-17 10:22:55,,,信息,,,7032.6

2019-12-17 10:22:55,,,信息,,,6934.9

2019-12-17 10:58:00,,,信息,,,7032.6

2019-12-17 10:58:00,,,信息,,,6934.3

2019-12-17 11:00:00,,,信息,,,7032.6

2019-12-17 11:00:00,,,信息,,,6934.4

2019-12-17 11:37:05,,,信息,,,7032.6

2019-12-17 11:37:05,,,信息,,,6904.0

2019-12-17 11:58:00,,,信息,,,7032.6

2019-12-17 11:58:00,,,信息,,,6917.7

2019-12-17 12:00:00,,,信息,,,7032.6

2019-12-17 12:00:00,,,信息,,,6917.7

2019-12-17 12:02:00,,,信息,,,7032.6

2019-12-17 12:02:00,,,信息,,,6917.701

2019-12-17 12:04:00,,,信息,,,7032.6

2019-12-17 12:04:00,,,信息,,,6917.699

2019-12-17 12:06:00,,,信息,,,7032.6

2019-12-17 12:06:00,,,信息,,,6909.225

2019-12-17 12:08:00,,,信息,,,7032.6

2019-12-17 12:08:00,,,信息,,,6912.05

2019-12-17 12:12:00,,,信息,,,7032.6

2019-12-17 12:12:00,,,信息,,,6906.4

2019-12-17 12:20:00,,,信息,,,7032.6

2019-12-17 12:20:00,,,信息,,,6912.8

2019-12-17 12:24:00,,,信息,,,7032.6

2019-12-17 12:24:00,,,信息,,,6911.52

2019-12-17 12:32:00,,,信息,,,7032.6

2019-12-17 12:32:00,,,信息,,,6919.2

2019-12-17 12:36:00,,,信息,,,7032.6

2019-12-17 12:36:00,,,信息,,,6917.92

2019-12-17 12:46:00,,,信息,,,7032.6

2019-12-17 12:46:00,,,信息,,,6925.6

2019-12-17 12:50:00,,,信息,,,7032.6

2019-12-17 12:50:00,,,信息,,,6922.45

2019-12-17 12:54:00,,,信息,,,7032.6

2019-12-17 12:54:00,,,信息,,,6923.5

2019-12-17 12:58:00,,,信息,,,7032.6

2019-12-17 12:58:00,,,信息,,,6921.4

2019-12-17 13:00:00,,,信息,,,7032.6

2019-12-17 13:00:00,,,信息,,,6921.4

2019-12-17 13:02:00,,,信息,,,7032.6

2019-12-17 13:02:00,,,信息,,,6921.401

2019-12-17 13:04:00,,,信息,,,7032.6

2019-12-17 13:04:00,,,信息,,,6921.399

2019-12-17 13:06:00,,,信息,,,7032.6

2019-12-17 13:06:00,,,信息,,,6919.0

2019-12-17 13:08:00,,,信息,,,7032.6

2019-12-17 13:08:00,,,信息,,,6919.8

2019-12-17 13:12:00,,,信息,,,7032.6

2019-12-17 13:12:00,,,信息,,,6918.2

2019-12-17 13:20:00,,,信息,,,7032.6

2019-12-17 13:20:00,,,信息,,,6922.166

2019-12-17 13:24:00,,,信息,,,7032.6

2019-12-17 13:24:00,,,信息,,,6921.373

2019-12-17 13:32:00,,,信息,,,7032.6

2019-12-17 13:32:00,,,信息,,,6926.133

2019-12-17 13:36:00,,,信息,,,7032.6

2019-12-17 13:36:00,,,信息,,,6925.34

2019-12-17 13:46:00,,,信息,,,7032.6

2019-12-17 13:46:00,,,信息,,,6930.1

2019-12-17 13:50:00,,,信息,,,7032.6

2019-12-17 13:50:00,,,信息,,,6924.325

2019-12-17 13:54:00,,,信息,,,7032.6

2019-12-17 13:54:00,,,信息,,,6926.25

2019-12-17 13:58:00,,,信息,,,7032.6

2019-12-17 13:58:00,,,信息,,,6922.4

2019-12-17 14:00:00,,,信息,,,7032.6

2019-12-17 14:00:00,,,信息,,,6922.5

2019-12-17 14:58:00,,,信息,,,7032.6

2019-12-17 14:58:00,,,信息,,,6920.7

2019-12-17 15:00:00,,,信息,,,7032.6

2019-12-17 15:00:00,,,信息,,,6920.7

2019-12-17 15:02:00,,,信息,,,7032.6

2019-12-17 15:02:00,,,信息,,,6920.701

2019-12-17 15:04:00,,,信息,,,7032.6

2019-12-17 15:04:00,,,信息,,,6920.699

2019-12-17 15:06:00,,,信息,,,7032.6

2019-12-17 15:06:00,,,信息,,,6920.775

2019-12-17 15:08:00,,,信息,,,7032.6

2019-12-17 15:08:00,,,信息,,,6920.75

2019-12-17 15:12:00,,,信息,,,7032.6

2019-12-17 15:12:00,,,信息,,,6920.8

2019-12-17 15:20:00,,,信息,,,7032.6

2019-12-17 15:20:00,,,信息,,,6917.2

2019-12-17 15:24:00,,,信息,,,7032.6

2019-12-17 15:24:00,,,信息,,,6917.919

2019-12-17 15:32:00,,,信息,,,7032.6

2019-12-17 15:32:00,,,信息,,,6913.599

2019-12-17 15:36:00,,,信息,,,7032.6

2019-12-17 15:36:00,,,信息,,,6914.32

2019-12-17 15:46:00,,,信息,,,7032.6

2019-12-17 15:46:00,,,信息,,,6910.0

2019-12-17 15:50:00,,,信息,,,7032.6

2019-12-17 15:50:00,,,信息,,,6910.075

2019-12-17 15:54:00,,,信息,,,7032.6

2019-12-17 15:54:00,,,信息,,,6910.05

2019-12-17 15:58:00,,,信息,,,7032.6

2019-12-17 15:58:00,,,信息,,,6910.1

2019-12-17 16:00:00,,,信息,,,7032.6

2019-12-17 16:00:00,,,信息,,,6910.1

2019-12-17 16:02:00,,,信息,,,7032.6

2019-12-17 16:02:00,,,信息,,,6910.101

2019-12-17 16:04:00,,,信息,,,7032.6

2019-12-17 16:04:00,,,信息,,,6910.099

2019-12-17 16:06:00,,,信息,,,7032.6

2019-12-17 16:06:00,,,信息,,,6902.525

2019-12-17 16:08:00,,,信息,,,7032.6

2019-12-17 16:08:00,,,信息,,,6905.05

2019-12-17 16:12:00,,,信息,,,7032.6

2019-12-17 16:12:00,,,信息,,,6900.0

2019-12-17 16:20:00,,,信息,,,7032.6

2019-12-17 16:20:00,,,信息,,,6905.533

2019-12-17 16:24:00,,,信息,,,7032.6

